variety,section,words,notes
US,blog,133061093,"GloWbE TEXTS page (document icon beside the corpus title), (Only) Blogs > Words; read 2026-09-22"
US,general,253536242,"GloWbE TEXTS page, General > Words; read 2026-09-22"
GB,blog,131671002,"GloWbE TEXTS page, (Only) Blogs > Words; read 2026-09-22"
GB,general,255672390,"GloWbE TEXTS page, General > Words; read 2026-09-22"
ZA,blog,13645623,"GloWbE TEXTS page, (Only) Blogs > Words; read 2026-09-22"
ZA,general,31683286,"GloWbE TEXTS page, General > Words; read 2026-09-22"
AU,blog,43390501,"GloWbE TEXTS page, (Only) Blogs > Words; read 2026-09-22"
AU,general,104716366,"GloWbE TEXTS page, General > Words; read 2026-09-22"
IE,blog,20410027,"GloWbE TEXTS page, (Only) Blogs > Words; read 2026-09-22"
IE,general,80530794,"GloWbE TEXTS page, General > Words; read 2026-09-22"
